,District,Name,Party,Residence,First elected,Term limited,Notes,Primary %,General %,Last Name,Ayes,Nays,Abstentions
0,1,Brian Dahle,Republican,Bieber,2012,2024,,64.1,63.0,Dahle,542,205,181
1,2,Jim Wood,Democratic,Healdsburg,2014,2026,,69.6,69.4,Wood,945,2,9
2,3,James Gallagher,Republican,Nicolaus,2014,2026,,65.0,60.2,Gallagher,632,197,103
3,4,Cecilia Aguiar-Curry,Democratic,Winters,2016,2028,,99.5,75.2,Aguiar-Curry,931,0,0
4,5,Frank Bigelow,Republican,O'Neals,2012,2024,,59.9,62.4,Bigelow,656,3,44
5,6,Kevin Kiley,Republican,Rocklin,2016,2028,,61.3,58.0,Kiley,609,220,122
6,7,Kevin McCarty,Democratic,Sacramento,2014,2026,,99.6,71.3,McCarty,971,3,21
7,8,Ken Cooley,Democratic,Rancho Cordova,2012,2024,,53.9,55.8,Cooley,286,10,334
8,9,Jim Cooper,Democratic,Elk Grove,2014,2026,,67.8,68.3,Cooper,836,13,72
9,10,Marc Levine,Democratic,Greenbrae,2012,2024,,80.4,71.7,Levine,853,10,63
10,11,Jim Frazier,Democratic,Oakley,2012,2024,,48.3,61.5,Frazier,772,43,123
11,12,Heath Flora,Republican,Ripon,2016,2028,,63.9,60.0,Flora,686,169,111
12,13,Susan Eggman,Democratic,Stockton,2012,2024,,52.6,65.4,Eggman,902,6,53
13,14,Tim Grayson,Democratic,Concord,2016,2028,,100.0,100.0,Grayson,869,6,82
14,15,Buffy Wicks,Democratic,Oakland,2018,2030,,31.4,53.6,Wicks,948,12,18
15,16,Rebecca Bauer-Kahan,Democratic,Orinda,2018,2030,,56.6,50.6,Bauer-Kahan,936,1,11
16,17,David Chiu,Democratic,San Francisco,2014,2026,,81.9,75.5,Chiu,875,1,65
17,18,Rob Bonta,Democratic,Alameda,2012,2024,,89.0,88.9,Bonta,949,1,9
18,19,Phil Ting,Democratic,San Francisco,2012,2024,,80.5,83.7,Ting,810,7,138
19,20,Bill Quirk,Democratic,Hayward,2012,2024,,99.9,77.4,Quirk,919,7,78
20,21,Adam Gray,Democratic,Merced,2012,2024,,99.9,71.3,Gray,750,23,171
21,22,Kevin Mullin,Democratic,South San Francisco,2012,2024,,74.1,76.8,Mullin,867,1,89
22,23,Jim Patterson,Republican,Fresno,2012,2024,,64.9,59.4,Patterson,618,203,111
23,24,Marc Berman,Democratic,Palo Alto,2016,2028,,75.4,76.6,Berman,885,3,63
24,25,Kansen Chu,Democratic,San Jose,2014,2026,,51.8,74.3,Chu,961,3,13
25,26,Devon Mathis,Republican,Visalia,2014,2026,,30.3,57.9,Mathis,665,217,91
26,27,Ash Kalra,Democratic,San Jose,2016,2028,,99.5,76.3,Kalra,943,6,13
27,28,Evan Low,Democratic,Campbell,2014,2026,,70.8,71.1,Low,864,11,73
28,29,Mark Stone,Democratic,Scotts Valley,2012,2024,,72.4,71.8,Mark Stone,946,15,0
29,30,Robert Rivas,Democratic,Hollister,2018,2030,,45.5,68.3,Robert Rivas,941,4,11
30,31,Joaquin Arambula,Democratic,Fresno,2016,2028,,59.5,64.8,Arambula,504,1,14
31,32,Rudy Salas,Democratic,Bakersfield,2012,2024,,50.4,56.7,Salas,844,58,35
32,33,Jay Obernolte,Republican,Big Bear Lake,2014,2026,,65.8,60.2,Obernolte,645,253,52
33,34,Vince Fong,Republican,Bakersfield,2016,2028,,76.4,70.6,Fong,626,199,133
34,35,Jordan Cunningham,Republican,Templeton,2016,2028,,55.5,55.9,Cunningham,764,121,71
35,36,Tom Lackey,Republican,Palmdale,2014,2026,,60.3,52.1,Lackey,773,148,55
36,37,Monique Limón,Democratic,Santa Barbara,2016,2028,,84.3,80.4,Limón,944,3,20
37,38,Christy Smith,Democratic,Santa Clarita,2018,2030,,46.4,51.2,Smith,902,16,32
38,39,Luz Rivas,Democratic,North Hollywood,2018,2030,,42.9,69.8,Luz Rivas,965,3,6
39,40,James Ramos,Democratic,Highland,2018,2030,,40.7,59.5,Ramos,897,33,33
40,41,Chris Holden,Democratic,Pasadena,2012,2024,,59.8,64.2,Holden,944,1,3
41,42,Chad Mayes,Republican,Yucca Valley,2014,2026,,32.8,55.3,Mayes,744,88,143
42,43,Laura Friedman,Democratic,Glendale,2016,2028,,100.0,100.0,Friedman,919,5,58
43,44,Jacqui Irwin,Democratic,Thousand Oaks,2014,2026,,51.9,58.9,Irwin,891,23,21
44,45,Jesse Gabriel,Democratic,Encino,2018,2030,,32.7,63.8,Gabriel,919,1,20
45,46,Adrin Nazarian,Democratic,Sherman Oaks,2012,2024,,79.1,79.3,Nazarian,944,4,22
46,47,Eloise Reyes,Democratic,Grand Terrace,2016,2028,,100.0,100.0,Reyes,937,1,13
47,48,Blanca Rubio,Democratic,Baldwin Park,2016,2028,,100.0,100.0,Blanca Rubio,872,5,56
48,49,Ed Chau,Democratic,Monterey Park,2012,2024,,69.0,71.2,Chau,953,1,3
49,50,Richard Bloom,Democratic,Santa Monica,2012,2024,,,,Bloom,941,2,7
50,51,Wendy Carrillo,Democratic,Boyle Heights,2017,2030,,,,Carrillo,937,1,19
51,52,Freddie Rodriguez,Democratic,Pomona,2013,2024,,,,Rodriguez,881,4,59
52,53,Miguel Santiago,Democratic,Los Angeles,2014,2026,,,,Santiago,995,6,5
53,54,Sydney Kamlager,Democratic,Los Angeles,2018,2030,,,,Kamlager-Dove,899,11,57
54,55,Phillip Chen,Republican,Diamond Bar,2016,2028,,,,Chen,580,112,225
55,56,Eduardo Garcia,Democratic,Coachella,2014,2026,,,,Eduardo Garcia,288,0,648
56,57,Ian Calderon,Democratic,Whittier,2012,2024,Majority Leader,,,Calderon,898,1,29
57,58,Cristina Garcia,Democratic,Bell Gardens,2012,2024,,,,Cristina Garcia,884,3,63
58,59,Reggie Jones-Sawyer,Democratic,Los Angeles,2012,2024,,,,Jones-Sawyer,961,5,8
59,60,Sabrina Cervantes,Democratic,Riverside,2016,2028,,,,Cervantes,874,26,11
60,61,Jose Medina,Democratic,Riverside,2012,2024,,,,Medina,932,10,22
61,62,Autumn Burke,Democratic,Marina del Rey,2014,2026,,,,Burke,876,2,99
62,63,Anthony Rendon,Democratic,Lakewood,2012,2024,Speaker,,,Rendon,907,1,3
63,64,Mike Gipson,Democratic,Carson,2014,2026,,,,Gipson,953,5,19
64,65,Sharon Quirk-Silva,Democratic,Fullerton,2016,2026,Previously served from 2012 to 2014.,,,Quirk-Silva,902,20,24
65,66,Al Muratsuchi,Democratic,Rolling Hills Estates,2016,2026,Previously served from 2012 to 2014.,,,Muratsuchi,895,7,42
66,67,Melissa Melendez,Republican,Lake Elsinore,2012,2024,,,,Melendez,644,247,59
67,68,Steven Choi,Republican,Irvine,2016,2028,,,,Choi,642,144,130
68,69,Tom Daly,Democratic,Anaheim,2012,2024,,,,Daly,889,8,49
69,70,Patrick O'Donnell,Democratic,Long Beach,2014,2026,,,,O'Donnell,923,8,28
70,71,Randy Voepel,Republican,Santee,2016,2028,,,,Voepel,615,213,110
71,72,Tyler Diep,Republican,Westminster,2018,2030,,,,Diep,778,79,130
72,73,Bill Brough,Republican,Dana Point,2014,2026,,,,Brough,632,205,90
73,74,Cottie Petrie-Norris,Democratic,Laguna Beach,2018,2030,,,,Petrie-Norris,925,31,18
74,75,Marie Waldron,Republican,Escondido,2012,2024,Minority Leader,,,Waldron,695,206,33
75,76,Tasha Boerner Horvath,Democratic,Encinitas,2018,2030,,,,Boerner Horvath,862,6,36
76,77,Brian Maienschein,Democratic,San Diego,2012,2024,"Changed party affiliation on January 24, 2019[8][9]",,,Maienschein,912,8,42
77,78,Todd Gloria,Democratic,San Diego,2016,2028,,,,Gloria,909,5,30
78,79,Shirley Weber,Democratic,San Diego,2012,2024,,,,Weber,930,2,20
79,80,Lorena Gonzalez,Democratic,San Diego,2013,2024,,,,Gonzalez,920,3,14
